relativeUrl;acronym;name;admin
https://www.fundsexplorer.com.br/funds/rbrf11;RBRF11;RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FDO INV IMOB;BTG Pactual
https://www.fundsexplorer.com.br/funds/rbri11;RBRI11;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENV;BTG Pactual
https://www.fundsexplorer.com.br/funds/rbrl11;RBRL11;RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;RBR Asset Management
https://www.fundsexplorer.com.br/funds/rbrp11;RBRP11;FDO INV IMOB RBR PROPERTIES - FII;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/rbrr11;RBRR11;FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE;BTG Pactual
https://www.fundsexplorer.com.br/funds/rbrs11;RBRS11;RIO BRAVO RENDA RESIDENCIAL FDO. INVEST. IMOB.;Rio Bravo
https://www.fundsexplorer.com.br/funds/rbry11;RBRY11;FDO INV IMOB RBR PRIVATE CRÉDITO IMOB;RBR Asset Management
https://www.fundsexplorer.com.br/funds/rbts11;RBTS11;RB CAPITAL TFO SITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;Oliveira Trust
https://www.fundsexplorer.com.br/funds/rbva11;RBVA11;FDO INV IMOB RIO BRAVO RENDA VAREJO - FII;Rio Bravo
https://www.fundsexplorer.com.br/funds/rbvo11;RBVO11;RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII;Rio Bravo
https://www.fundsexplorer.com.br/funds/rcfa11;RCFA11;GRUPO RCFA FDO INV IMOB;FRAM Capital
https://www.fundsexplorer.com.br/funds/rcff11;RCFF11;RBR DESENV COMERCIAL FEEDER FOF FDO INVEST IMOB;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/rcrb11;RCRB11;FDO INV IMOB RIO BRAVO RENDA CORPORATIVA;Rio Bravo
https://www.fundsexplorer.com.br/funds/rdes11;RDES11;RENDA DE ESCRITÓRIOS FDO INV IMOB - FII;Banco do Brasil
https://www.fundsexplorer.com.br/funds/rdpd11;RDPD11;BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII;Votorantim Asset
https://www.fundsexplorer.com.br/funds/rech11;RECH11;FDO INV IMOB - REC HOTELARIA;BTG Pactual
https://www.fundsexplorer.com.br/funds/recr11;RECR11;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/rect11;RECT11;FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/recx11;RECX11;FDO. INV. IMOB. REC FUNDO DE FUNDOS;BTG Pactual
https://www.fundsexplorer.com.br/funds/relg11;RELG11;FDO INV. IMOB. REC LOGISTICA;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/rfof11;RFOF11;FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS;BRL Trust Investimentos
https://www.fundsexplorer.com.br/funds/rmai11;RMAI11;REAG MULTI ATIVOS IMOBILIÁRIOS - FII;Caixa Economica Federal
https://www.fundsexplorer.com.br/funds/rndp11;RNDP11;BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII;Votorantim Asset
https://www.fundsexplorer.com.br/funds/rngo11;RNGO11;FDO INV IMOB RIO NEGRO - FII;Rio Bravo
https://www.fundsexplorer.com.br/funds/rrci11;RRCI11;RB CAPITAL RECEBÍVEIS IMOB. FDO. INVEST. IMOB FII;BRL Trust Investimentos
